2011-12-12 08:33:33 Notice: Notice (8): Undefined variable: variacao_id in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos/indicar.ctp, line 3]
2011-12-12 08:34:39 Notice: Notice (8): Trying to get property of non-object in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos/indicar.ctp, line 7]
2011-12-12 11:23:32 Notice: Notice (8): Undefined index: preco in [/home/osmaralves/Work/sites/b3net/valeatacado/views/carrinho/index.ctp, line 86]
2011-12-12 11:25:04 Notice: Notice (8): Undefined index: preco in [/home/osmaralves/Work/sites/b3net/valeatacado/views/carrinho/index.ctp, line 86]
2011-12-12 11:25:33 Notice: Notice (8): Undefined index: Produto in [/home/osmaralves/Work/sites/b3net/valeatacado/views/carrinho/index.ctp, line 86]
2011-12-12 12:11:03 Notice: Notice (8): Undefined variable: produtosDestaque in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-home.ctp, line 3]
2011-12-12 12:14:38 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:43 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:44 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:45 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:45 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:45 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:47 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:53 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:54 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:55 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:14:55 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:02 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:31 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:32 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:32 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:32 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:33 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:33 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:15:54 Notice: Notice (8): Undefined property: View::$Paginator in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-list.ctp, line 33]
2011-12-12 12:16:13 Notice: Notice (8): Undefined variable: produtosDestaque in [/home/osmaralves/Work/sites/b3net/valeatacado/views/elements/produtos-home.ctp, line 3]
